Facing,No_Bedroom,No_Bathroom,No_Balcony,Corner_Property,Furnishing,study room,servant room,store room,pooja room,Overlooking_main road,Overlooking_club,Overlooking_pool,Overlooking_NA,flat_age,sector_num,Super Built-up Area,luxury_category,floor_category,price
0.0,2,2.0,2,1,0.0,0,0,0,1,1,1,1,0,2,113,1310.0,2.0,2.0,2.1
4.0,2,2.0,3,1,1.0,0,0,0,1,1,1,1,0,1,104,1099.0,1.0,1.0,1.35
2.0,2,2.0,3,1,1.0,0,0,0,0,1,1,1,0,3,83,1050.0,2.0,1.0,1.0
2.0,2,2.0,3,0,1.0,0,0,0,0,0,0,0,1,3,70,1420.0,0.0,0.0,1.8
0.0,2,2.0,3,1,1.0,0,0,1,0,1,1,1,0,1,68,1245.0,1.0,1.0,1.35
4.0,2,2.0,3,1,1.0,0,0,0,0,1,1,1,0,1,65,2046.6,2.0,2.0,2.58
0.0,2,2.0,2,1,1.0,0,0,0,0,1,1,1,0,3,84,1125.0,2.0,0.0,0.85
2.0,2,2.0,1,1,1.0,0,0,0,0,1,0,1,0,3,37,810.0,2.0,2.0,0.57
4.0,2,3.0,3,0,1.0,0,1,0,0,1,1,1,0,1,104,1700.0,2.0,0.0,2.3
5.0,2,3.0,3,0,1.0,0,1,0,0,1,1,1,0,1,104,1700.0,2.0,2.0,2.28
0.0,2,2.0,3,1,1.0,0,0,0,0,1,1,1,0,3,83,1050.0,1.0,0.0,0.97
4.0,2,2.0,1,1,1.0,0,0,0,0,1,1,1,0,1,85,12834.0,2.0,0.0,1.9
4.0,2,2.0,2,0,1.0,0,0,0,0,1,1,1,0,1,104,1550.0,1.0,2.0,2.09
2.0,2,2.0,3,1,1.0,0,0,0,0,1,1,0,0,4,84,1200.0,1.0,2.0,0.88
0.0,2,2.0,2,1,1.0,1,0,0,0,1,1,1,0,1,89,1103.0,1.0,0.0,1.05
2.0,2,4.0,3,0,0.0,1,1,0,0,0,0,0,1,1,37,2035.0,2.0,2.0,1.6
2.0,2,2.0,2,0,1.0,0,0,0,0,0,1,0,0,1,36,1479.0,0.0,2.0,2.6
2.0,2,2.0,3,1,0.0,1,0,0,0,1,1,1,0,1,89,1103.0,1.0,1.0,1.05
4.0,2,2.0,4,0,1.0,0,0,0,1,1,1,1,0,2,92,960.0,1.0,0.0,0.768
4.0,2,2.0,4,0,1.0,1,0,0,1,1,1,1,0,2,92,960.0,2.0,0.0,0.8540000000000001
2.0,2,2.0,2,0,1.0,1,1,0,1,1,1,1,0,4,67,1012.5,2.0,2.0,0.75
