,Facing,No_Bedroom,No_Bathroom,No_Balcony,Corner_Property,Furnishing,study room,servant room,store room,pooja room,Overlooking_main road,Overlooking_club,Overlooking_pool,Overlooking_NA,flat_age,sector_num,Super Built-up Area,luxury_category,floor_category,price
3788,North-East,5,5.0,3+,No,Semifurnished,0,1,0,0,0,1,1,0,Relatively New,67,7080.0,Luxury,Low Floor,9.0
3789,North-East,3,3.0,3+,Yes,Unfurnished,1,1,1,1,1,1,1,0,Under Construction,79,2365.0,Standard,Low Floor,3.1
3790,North-East,3,5.0,3,No,Semifurnished,0,1,0,0,1,0,0,0,Relatively New,47,2470.0,Luxury,High Floor,4.9
3791,East,4,4.0,3,Yes,Semifurnished,0,1,1,0,0,1,1,0,Under Construction,106,4185.0,Standard,High Floor,5.23
3792,North,3,3.0,3+,Yes,Semifurnished,0,0,0,0,1,1,1,0,Relatively New,33,1789.0,Standard,Low Floor,2.49
3793,East,4,4.0,3+,Yes,Semifurnished,0,1,0,0,0,1,1,0,Under Construction,106,3690.0,Luxury,Mid Floor,5.29
3794,North,3,4.0,3+,No,Semifurnished,0,1,0,0,0,0,0,1,New Property,53,2895.0,Luxury,High Floor,5.25
3795,North-East,3,2.0,2,Yes,Unfurnished,0,0,0,0,0,0,0,0,Under Construction,76,1371.0,Luxury,High Floor,1.8
3796,East,3,3.0,3,No,Semifurnished,0,0,0,1,0,0,0,0,Under Construction,104,1689.0,Luxury,High Floor,2.3
3797,North,4,5.0,3+,Yes,Semifurnished,0,1,0,0,1,1,1,0,Relatively New,66,2410.0,Standard,Low Floor,4.25
3798,North,4,4.0,3+,Yes,Semifurnished,0,1,0,1,0,1,1,0,Old Property,53,3390.0,Luxury,High Floor,8.3
3799,North,4,4.0,3+,Yes,Semifurnished,0,1,0,0,1,0,0,0,Old Property,54,2721.0,Luxury,High Floor,8.5
3800,North-East,3,3.0,2,No,Semifurnished,0,0,0,0,0,1,1,0,Under Construction,83,1850.0,Budget,High Floor,2.5
3801,East,4,4.0,3+,Yes,Semifurnished,1,0,0,0,1,1,1,0,Relatively New,82,2308.0,Luxury,Low Floor,4.0
